date,region,sst
1996-10-15,Scotian Shelf,11.427
1996-10-15,Gulf of St. Lawrence,8.459
1996-11-15,Bay of Fundy,8.201
1996-11-15,Scotian Shelf,8.625
1996-11-15,Gulf of St. Lawrence,5.116
1996-12-15,Bay of Fundy,5.802
1996-12-15,Scotian Shelf,5.545
1996-12-15,Gulf of St. Lawrence,2.004
1997-01-15,Bay of Fundy,3.401
1997-01-15,Scotian Shelf,3.532
1997-01-15,Gulf of St. Lawrence,0.06
1997-02-15,Bay of Fundy,2.348
1997-02-15,Scotian Shelf,2.522
1997-02-15,Gulf of St. Lawrence,-0.379
1997-03-15,Bay of Fundy,1.749
